titleId	ordering	title	region	language	types	attributes	isOriginalTitle
tt0000799	1	Aventuras de Pepín	ES	\N	imdbDisplay	\N	0
tt0000804	1	El barranco del lobo	ES	\N	imdbDisplay	\N	0
tt0000805	1	Baño imprevisto	ES	\N	imdbDisplay	\N	0
tt0000812	1	El blocao Velarde	ES	\N	imdbDisplay	\N	0
tt0000814	2	La bocana de Mar Chica	ES	\N	imdbDisplay	\N	0
tt0000820	1	Guerra de Melilla	ES	\N	\N	\N	0
tt0000822	1	Celos gitanos	ES	\N	imdbDisplay	\N	0
tt0000830	2	Corazón de madre	ES	\N	imdbDisplay	\N	0
tt0000842	2	De Garraf a Barcelona	ES	\N	imdbDisplay	\N	0
tt0000849	3	Dos guapos frente a frente	ES	\N	imdbDisplay	\N	0
tt0000850	2	Los dos hermanos	ES	\N	imdbDisplay	\N	0
tt0000859	1	Fabricación del corcho en Sant Feliu de Guixols	ES	\N	imdbDisplay	\N	0
tt0000868	2	Fiestas de Santa Lucía - Belenes	ES	\N	imdbDisplay	\N	0
tt0000869	2	Fiestas en La Garriga	ES	\N	imdbDisplay	\N	0
tt0000885	3	Guzmán el Bueno	ES	\N	imdbDisplay	\N	0
tt0000914	2	Industria del corcho	ES	\N	imdbDisplay	\N	0
tt0000923	1	El joyero	ES	\N	imdbDisplay	\N	0
tt0000926	2	Justicia de Felipe II	ES	\N	imdbDisplay	\N	0
tt0000941	3	Locura de amor	ES	\N	imdbDisplay	\N	0
tt0000959	1	Melilla y el Gurugu	ES	\N	imdbDisplay	\N	0
tt0001003	2	Por un ratón	ES	\N	imdbDisplay	\N	0
tt0001006	2	Primera carrera internacional de automóviles 'Peña-Rhin'	ES	\N	imdbDisplay	\N	0
tt0001007	2	La primera y segunda casetas	ES	\N	imdbDisplay	\N	0
tt0001010	1	Protección de un convoy de víveres en el puente de camellos	ES	\N	imdbDisplay	\N	0
tt0001051	1	El sueño milagroso	ES	\N	imdbDisplay	\N	0
tt0001068	1	Toma caseta Z	ES	\N	imdbDisplay	\N	0
tt0001069	2	Toma del Gurugu	ES	\N	imdbDisplay	\N	0
tt0001070	1	Tragedia torera	ES	\N	imdbDisplay	\N	0
tt0001081	2	La vida en el campamento	ES	\N	imdbDisplay	\N	0
tt0001113	2	Amor gitano	ES	\N	imdbDisplay	\N	0
tt0001127	1	Baixant de la font del Gat	ES	\N	imdbDisplay	\N	0
tt0001145	1	Carceleras	ES	\N	imdbDisplay	\N	0
tt0001162	1	Un corpus de sangre	ES	\N	imdbDisplay	\N	0
tt0001175	7	La dama de las camelias	ES	\N	\N	\N	0
tt0001181	2	El diablo está en Zaragoza	ES	\N	imdbDisplay	\N	0
tt0001184	2	Don Juan de Serrallonga	ES	\N	imdbDisplay	\N	0
tt0001201	1	La esclusa	ES	\N	imdbDisplay	\N	0
tt0001203	2	Excursión al Gombreny	ES	\N	imdbDisplay	\N	0
tt0001204	2	La expiación	ES	\N	imdbDisplay	\N	0
tt0001205	2	Fabricación del cemento Asland	ES	\N	imdbDisplay	\N	0
tt0001209	1	Una farsa de colas	ES	\N	imdbDisplay	\N	0
tt0001212	2	La diada d'en Pepet	ES	ca	\N	\N	0
tt0001212	3	El día d'en Pepet	ES	ca	\N	\N	0
tt0001218	1	Un alma reprobada	ES	\N	\N	\N	0
tt0001218	5	Nicholas el Tonto	ES	\N	alternative	\N	0
tt0001219	1	Flores y perlas	ES	\N	imdbDisplay	\N	0
tt0001227	2	El fugitivo	ES	\N	imdbDisplay	\N	0
tt0001239	1	Los guapos	ES	\N	imdbDisplay	\N	0
tt0001246	1	La hija del guardacostas	ES	\N	imdbDisplay	\N	0
tt0001256	5	La casa con las persianas echadas	ES	\N	imdbDisplay	\N	0
tt0001265	5	En los estados fronterizos	ES	\N	imdbDisplay	\N	0
tt0001271	2	Inundaciones en Lérida	ES	\N	imdbDisplay	\N	0
tt0001276	2	Justicias del rey Don Pedro	ES	\N	imdbDisplay	\N	0
tt0001295	1	Lucha fratricida o Nobleza aragonesa	ES	\N	imdbDisplay	\N	0
tt0001296	2	La lucha por la divisa	ES	\N	imdbDisplay	\N	0
tt0001301	1	Madre mía	ES	\N	imdbDisplay	\N	0
tt0001305	2	La manta del caballo	ES	\N	imdbDisplay	\N	0
tt0001314	6	Shyloch, ó el mercador de Venecia	ES	\N	\N	\N	0
tt0001328	1	Montblanc la serra	ES	\N	imdbDisplay	\N	0
tt0001329	1	El moscardón	ES	\N	imdbDisplay	\N	0
tt0001355	1	Para domar la suegra	ES	\N	imdbDisplay	\N	0
tt0001356	2	Parada militar en el paseo	ES	\N	imdbDisplay	\N	0
tt0001364	1	El pobre Valbuena	ES	\N	imdbDisplay	\N	0
tt0001366	2	Un porter model	ES	ca	\N	\N	0
tt0001378	3	El rey Lear	ES	\N	\N	\N	0
tt0001383	2	Ribera del Llobregat	ES	\N	imdbDisplay	\N	0
tt0001392	2	Segunda carrera automovilista 'Peña-Rhin' (Mataró-Argentona)	ES	\N	imdbDisplay	\N	0
tt0001411	1	Teatro de la naturaleza en Sabadell	ES	\N	imdbDisplay	\N	0
